sample,stage,held_out_record,target_feature,model,n_train,n_test,heldout_rmse_standardized,training_aic,training_bic,predictors
raw_qc_pass,cue_locked,VisualCogA_Task-2,log_alpha_power_F4,Model-0_V,291,96,0.8904685598645768,831.8054257826403,842.8253955841548,V
raw_qc_pass,cue_locked,VisualCogA_Task-2,log_alpha_power_F4,Model-0_VplusGamma,291,96,0.8774519275149711,804.1857353940604,818.8790284627464,V;G
raw_qc_pass,cue_locked,VisualCogA_Task-2,log_alpha_power_F4,Model-A1_no_H,291,96,0.9006300497332732,796.8677474189559,811.5610404876419,V;P
raw_qc_pass,cue_locked,VisualCogA_Task-2,log_alpha_power_F4,Model-A2_no_P,291,96,0.8362503109336504,790.0133564254093,804.7066494940952,V;H
raw_qc_pass,cue_locked,VisualCogA_Task-2,log_alpha_power_F4,Model-A3_no_T,291,96,0.8531867121617253,757.0864924401735,775.453108776031,V;H;P
raw_qc_pass,cue_locked,VisualCogA_Task-2,log_alpha_power_F4,Model-F_VHP_plus_Tcandidate,291,96,0.843711150854386,758.5366033149508,780.5765429179797,V;H;P;T
raw_qc_pass,cue_locked,VisualCogA_Task-2,log_alpha_power_F4,Model-F_VHP_gamma_plus_Tcandidate,291,96,0.8279765593356901,756.4342523196877,782.1475151898882,V;H;P;G;T
raw_qc_pass,cue_locked,VisualCogA_Task-2,log_beta_power_F3,Model-0_V,291,96,0.5250570315219194,829.7633080783952,840.7832778799096,V
raw_qc_pass,cue_locked,VisualCogA_Task-2,log_beta_power_F3,Model-0_VplusGamma,291,96,0.48958199717765927,682.1955743572362,696.8888674259222,V;G
raw_qc_pass,cue_locked,VisualCogA_Task-2,log_beta_power_F3,Model-A1_no_H,291,96,0.45526864891270036,820.6102066290034,835.3034996976894,V;P
raw_qc_pass,cue_locked,VisualCogA_Task-2,log_beta_power_F3,Model-A2_no_P,291,96,0.5144478461336632,827.5589410010366,842.2522340697226,V;H
raw_qc_pass,cue_locked,VisualCogA_Task-2,log_beta_power_F3,Model-A3_no_T,291,96,0.4454186525616122,818.9789941091029,837.3456104449604,V;H;P
raw_qc_pass,cue_locked,VisualCogA_Task-2,log_beta_power_F3,Model-F_VHP_plus_Tcandidate,291,96,0.45039792971460496,820.9162752740837,842.9562148771126,V;H;P;T
raw_qc_pass,cue_locked,VisualCogA_Task-2,log_beta_power_F3,Model-F_VHP_gamma_plus_Tcandidate,291,96,0.5270155772303682,662.9924240018735,688.7056868720739,V;H;P;G;T
raw_qc_pass,cue_locked,VisualCogA_Task-2,log_beta_power_Fz,Model-0_V,291,96,0.8577578216015029,828.24100113601,839.2609709375245,V
