trial,channel,clipping_ratio,longest_clip_s,peak_to_peak,jump,drift,peak_to_peak_z,jump_z,drift_z,clip_abnormal,amplitude_abnormal,jump_abnormal,drift_abnormal,is_abnormal
21,F4,0.0,0.0,309.23933775844966,21.486228732738155,126.39047837033644,-0.02822667829119454,-0.5528160095581206,0.11173103195901432,False,False,False,False,False
22,F3,0.0,0.0,1249.9275196459907,24.29846646829929,1174.8073548485543,4.718979890109891,-0.045956199746115374,9.363166108209333,False,True,False,True,True
22,Fz,0.0,0.0,191.80590524147397,17.123674372472927,71.3054093232625,0.844287931034484,-0.7870425531914156,2.871685774309717,False,False,False,False,False
22,F4,0.14938684503901895,0.5234375,1407.888914320592,22.83054856183695,1380.6668192568854,4.205775065387968,0.15714157706079324,9.129089005448481,True,True,False,True,True
23,F3,0.0,0.0,962.9358358129246,24.522774090180693,368.78004119935895,3.3249143956043965,0.037963817181505786,2.3405754902926987,False,False,False,False,False
23,Fz,0.0,0.0,138.67399099717704,17.39986266880301,82.32242313267739,-0.055562260536398865,-0.6503297872340146,3.4563064225690217,False,False,False,False,False
23,F4,0.0,0.0,1197.497520408942,23.685053788052144,551.5678644998854,3.3949637314734096,0.6084199522103171,3.168455111002683,False,False,False,False,False
24,F3,0.0,0.0,155.24528877698936,24.47852292668042,56.68726634622726,-0.5984519780219788,0.02140816758359184,-0.37856287572681574,False,False,False,False,False
24,Fz,0.0,0.0,127.32127870603506,18.05905241474019,34.66849774929443,-0.2478335249042128,-0.3240319148936064,0.9275387154862005,False,False,False,False,False
24,F4,0.0,0.0,167.02525368123906,23.631647211413682,111.48241397726406,-0.5762946817785526,0.5802150537634653,0.004552614458811178,False,False,False,False,False
25,F3,0.0,0.0,382.57419699397246,21.565575646601097,303.4256504158084,0.5058008791208778,-1.0684102835378424,1.7711690647482037,False,False,False,False,False
25,Fz,0.0,0.0,72.35828183413457,16.25238422217129,4.94392309452968,-1.1786952107279691,-1.2183297872341488,-0.6498034213685393,False,False,False,False,False
25,F4,0.0,0.0,1004.470893415732,21.068131532768692,937.3769741359579,2.651073147340889,-0.7736200716847912,5.942149182727495,False,False,False,True,True
26,F3,0.0,0.0,193.30128938735027,24.71808957045858,77.68368047608135,-0.4135945054945061,0.11103702920019022,-0.19562959495417503,False,False,False,False,False
26,Fz,0.0,0.0,139.37590600442513,17.24574654764618,8.636606393530144,-0.043674521072796395,-0.7266170212766724,-0.45385024009603514,False,False,False,False,False
26,F4,0.0,0.0,282.0782787823299,23.349355306324938,133.51644159609367,-0.1329006102877077,0.43113201911596266,0.16296165731479215,False,False,False,False,False
27,F3,0.3745819397993311,1.3125,1097.917143511101,24.855420767528813,912.138551918822,3.980587692307693,0.16241663140076865,7.074638858776001,True,True,False,True,True
27,Fz,0.0,0.0,221.34737163347825,19.94048981460288,133.9589532310979,1.3446067049808452,0.6072765957448014,6.1964120648259,False,False,False,True,True
27,F4,0.443701226309922,1.5546875,1162.6459143968873,22.525368123903284,1010.2845807583733,3.2606517872711427,-0.004029271206717507,6.466303204033504,True,False,False,True,True
28,F3,0.0,0.0,448.92042420080884,65.23537041275644,300.49591821164256,0.8280784615384619,15.269732331781427,1.7456434906869038,False,False,True,False,True
28,Fz,0.0,0.0,256.5041580834669,31.32066834515881,118.471046005951,1.940027394636021,6.24044680851123,5.3745423169267434,False,False,True,True,True
28,F4,0.0,0.0,461.2497138933395,44.64484626535443,311.482413977264,0.5575945074106367,11.677633811232573,1.4424108725705456,False,False,True,False,True
29,F3,0.0,0.0,196.68879224841692,23.42870222018753,105.13466086823843,-0.3971396703296707,-0.3713603470165534,0.04353971617226843,False,False,False,False,False
29,Fz,0.0,0.0,133.88265812161455,16.096742198824824,14.57236591134506,-0.13670900383141502,-1.295372340425727,-0.13886764705882154,False,False,False,False,False
29,F4,0.0,0.0,478.7670710307468,22.403295948729717,340.62714579995406,0.6251033129904092,-0.06849761051377547,1.6519408392290795,False,False,False,False,False
30,F3,0.0,0.0,90.05874723430225,21.40535591668571,7.293812466620977,-0.9150963736263745,-1.128353152771894,-0.8089081009165272,False,False,False,False,False
30,Fz,0.0,0.0,64.08789196612497,17.032120241092507,24.460212100404306,-1.3187637931034508,-0.8323617021277101,0.38583343337334663,False,False,False,False,False
30,F4,0.0,0.0,108.7357900358586,20.78431372549029,52.567330434119185,-0.800931996512642,-0.9235089605736264,-0.4190050825404569,False,False,False,False,False
31,F3,0.0,0.0,302.5253681239034,19.659723811703593,241.61135271229114,0.11696274725274743,-1.781444985188324,1.232606041194443,False,False,False,False,False
31,Fz,0.0,0.0,118.22690165560414,16.552986953536323,18.478675516899557,-0.40185727969348267,-1.0695319148936515,0.0684216686674792,False,False,False,False,False
31,F4,0.0,0.0,659.9832150759136,19.66735332265204,557.1068894483864,1.3234783783783781,-1.5133942652332633,3.208276774823128,False,False,False,False,False
32,F3,0.0,0.0,91.34050507362474,20.276188296330123,1.2359807736324342,-0.9088702197802206,-1.5508076597545584,-0.8616875431161927,False,False,False,False,False
32,Fz,0.0,0.0,71.22911421377898,17.52193484397646,3.692683299000464,-1.197818965517242,-0.5899042553191745,-0.7162007803121222,False,False,False,False,False
32,F4,0.0,0.0,114.29007400625619,20.248722056916044,17.120622568093495,-0.7795267654751526,-1.2063637992834584,-0.673841790680653,False,False,False,False,False
33,F3,0.0,0.0,96.31494621194781,21.341268024719696,44.89204242008083,-0.8847068131868139,-1.1523303004654624,-0.481329900463192,False,False,False,False,False
33,Fz,0.0,0.0,67.96368352788579,17.49752040894166,14.49607080186172,-1.2531227969348695,-0.6019893617021967,-0.14291626650659306,False,False,False,False,False
33,F4,0.0,0.0,81.36110475318537,19.256885633630766,40.57373922331578,-0.9064292066259807,-1.730169056153327,-0.5052305033748069,False,False,False,False,False
34,F3,0.0,0.0,131.19707026779577,21.76546883344796,15.136949721522797,-0.7152664835164845,-0.9936244181124837,-0.7405740120232595,False,False,False,False,False
34,Fz,0.0,0.0,69.36751354238197,18.405432211795453,0.3967345693141624,-1.2293473180076644,-0.1525744680849515,-0.8911011404561722,False,False,False,False,False
34,F4,0.0,0.0,135.01182574197014,18.53055619134812,59.647516594186186,-0.699668788142981,-2.1137556750302804,-0.36810356184435317,False,False,False,False,False
35,F3,0.0,0.0,106.44693675135409,19.699397268635053,50.492103456168536,-0.8354905494505508,-1.7666019889970235,-0.43253882921060394,False,False,False,False,False
35,Fz,0.0,0.0,67.50591287098496,17.135881589989957,7.476920729381163,-1.2608756704980868,-0.7810000000000874,-0.5153892557022801,False,False,False,False,False
