Task,Dataset,window_start_ms,window_end_ms,window_center_ms,window_samples,offset_relative_center_ms,AUC_signed_mean_folds,AUC_discriminability,AUC_fold_SD_descriptive,Global_permutation_p,FWER_significant_0.05,Global_null_95_threshold,N_trials,N_left,N_right,N_permutations
Task2,VisualCogB_Task-2,300.00000000000006,400.0,350.00000000000006,13,150.00000000000003,0.5524639249639249,0.5524639249639249,0.11896593874382566,1.0,0,0.8153809523809523,80,37,43,199
Task2,VisualCogB_Task-2,400.0,500.0,450.0,12,250.0,0.5800198412698412,0.5800198412698412,0.0647197161641478,1.0,0,0.8153809523809523,80,37,43,199
Task2,VisualCogB_Task-2,500.0,600.0,550.0,13,350.00000000000006,0.6116251803751804,0.6116251803751804,0.0648115607622958,1.0,0,0.8153809523809523,80,37,43,199
Task2,VisualCogB_Task-2,600.0000000000001,700.0000000000001,650.0000000000001,13,450.0000000000001,0.584025974025974,0.584025974025974,0.05784534147787434,1.0,0,0.8153809523809523,80,37,43,199
Task2,VisualCogB_Task-2,700.0000000000001,800.0,750.0,13,550.0,0.6039898989898991,0.6039898989898991,0.14886327790905965,1.0,0,0.8153809523809523,80,37,43,199
Task2,VisualCogB_Task-2,800.0,900.0,850.0000000000001,13,650.0000000000001,0.5908856421356422,0.5908856421356422,0.15946816595506658,1.0,0,0.8153809523809523,80,37,43,199
Task2,VisualCogB_Task-2,900.0,1000.0,950.0,12,750.0,0.627150974025974,0.627150974025974,0.07823521920118102,1.0,0,0.8153809523809523,80,37,43,199
Task2,VisualCogB_Task-2,1000.0,1100.0,1050.0,13,850.0000000000001,0.5992316017316017,0.5992316017316017,0.05161197641894339,1.0,0,0.8153809523809523,80,37,43,199
Task2,VisualCogB_Task-2,1100.0,1200.0000000000002,1150.0000000000002,13,950.0000000000002,0.6128679653679654,0.6128679653679654,0.14430861962732253,1.0,0,0.8153809523809523,80,37,43,199
Task2,VisualCogB_Task-2,1200.0000000000002,1300.0000000000002,1250.0000000000002,13,1050.0000000000002,0.5941260822510823,0.5941260822510823,0.09467255768708081,1.0,0,0.8153809523809523,80,37,43,199
Task2,VisualCogB_Task-2,1300.0,1400.0000000000002,1350.0,13,1150.0000000000002,0.6021428571428571,0.6021428571428571,0.06548926073551048,1.0,0,0.8153809523809523,80,37,43,199
Task2,VisualCogB_Task-2,1400.0000000000002,1500.0000000000002,1450.0000000000002,12,1250.0000000000002,0.5794164862914863,0.5794164862914863,0.07302893751799142,1.0,0,0.8153809523809523,80,37,43,199
Task2,VisualCogB_Task-2,1500.0,1600.0,1550.0,13,1350.0,0.5850712481962482,0.5850712481962482,0.14888468751145728,1.0,0,0.8153809523809523,80,37,43,199
Task2,VisualCogB_Task-2,1600.0,1700.0000000000002,1650.0000000000002,13,1450.0000000000002,0.5153977272727273,0.5153977272727273,0.11424835374175805,1.0,0,0.8153809523809523,80,37,43,199
Task2,VisualCogB_Task-2,1700.0000000000002,1800.0000000000002,1750.0000000000002,13,1550.0000000000002,0.5208802308802308,0.5208802308802308,0.20770614739361803,1.0,0,0.8153809523809523,80,37,43,199
Task2,VisualCogB_Task-2,1800.0,1900.0000000000002,1850.0,13,1650.0000000000002,0.41347402597402605,0.586525974025974,0.13080782574838545,1.0,0,0.8153809523809523,80,37,43,199
Task2,VisualCogB_Task-2,1900.0000000000002,2000.0,1950.0000000000002,12,1750.0000000000002,0.4122537878787879,0.587746212121212,0.11848609743044342,1.0,0,0.8153809523809523,80,37,43,199
Task2,VisualCogB_Task-2,2000.0,2100.0,2050.0,13,1849.9999999999998,0.5618380230880231,0.5618380230880231,0.10291523506089792,1.0,0,0.8153809523809523,80,37,43,199
Task2,VisualCogB_Task-2,2100.0,2200.0,2150.0000000000005,13,1950.0000000000005,0.5160425685425686,0.5160425685425686,0.1077218882996497,1.0,0,0.8153809523809523,80,37,43,199
