sample,stage,name,representation,l2,edge_components,shrinkage,mean_accuracy,mean_balanced_accuracy,sd_balanced_accuracy,mean_auc,mean_macro_f1,valid_record_folds
raw_qc_pass,cue_locked,logistic_spatial_100ms_l2_1,spatial_100ms,1.0,0,0.0,0.4909824171604125,0.4927134549590609,0.08575376739186163,0.5152673784341992,0.48207860803882924,4
raw_qc_pass,cue_locked,logistic_spatial_100ms_l2_10,spatial_100ms,10.0,0,0.0,0.5142085664911126,0.5161638413835453,0.06843165772943699,0.5072985970785077,0.49875407232945845,4
raw_qc_pass,cue_locked,logistic_spatial_100ms_l2_100,spatial_100ms,100.0,0,0.0,0.49918744513934604,0.4987382069655428,0.04005654247528356,0.49592855658805396,0.4436285160834659,4
raw_qc_pass,cue_locked,logistic_wave64_l2_0.1,wave64,0.1,0,0.0,0.48869623655913974,0.49059575155204205,0.04066903632708612,0.49009741372137305,0.4825698799689929,4
raw_qc_pass,cue_locked,logistic_wave64_l2_1,wave64,1.0,0,0.0,0.5088694590739522,0.5117603845344363,0.0457303345227166,0.5041600394186734,0.5013568115079746,4
raw_qc_pass,cue_locked,logistic_wave64_l2_10,wave64,10.0,0,0.0,0.49371852369980246,0.49346054402136735,0.05025167718412632,0.5183314001441507,0.4862137201709064,4
raw_qc_pass,cue_locked,logistic_wave64_l2_100,wave64,100.0,0,0.0,0.5089448924731182,0.5086843500060428,0.06413645152904586,0.5204454483285812,0.4964408072840803,4
raw_qc_pass,target_locked,baseline_logistic_l2_1,baseline_13,1.0,0,0.0,0.528061224489796,0.5224995399195834,0.06137116125387393,0.5256555984691247,0.5091665572949008,4
raw_qc_pass,target_locked,csp_e1_shrink0.01_l2_0.1,csp,0.1,1,0.01,0.5075510204081632,0.5051593500149708,0.01998094483073887,0.5165986945961971,0.4519690575711726,4
raw_qc_pass,target_locked,csp_e1_shrink0.01_l2_1,csp,1.0,1,0.01,0.5075510204081632,0.5051593500149708,0.01998094483073887,0.517011708672602,0.4519690575711726,4
raw_qc_pass,target_locked,csp_e1_shrink0.01_l2_10,csp,10.0,1,0.01,0.5150510204081633,0.5136983711233722,0.01626451150364289,0.5222454464548737,0.4590128463813878,4
raw_qc_pass,target_locked,csp_e1_shrink0.1_l2_0.1,csp,0.1,1,0.1,0.5048979591836735,0.5028313529071617,0.02745539957842358,0.5215844344889566,0.453335807302081,4
raw_qc_pass,target_locked,csp_e1_shrink0.1_l2_1,csp,1.0,1,0.1,0.5074489795918368,0.5054909273752469,0.02262730168075694,0.5221266339139603,0.4548992779212514,4
raw_qc_pass,target_locked,csp_e1_shrink0.1_l2_10,csp,10.0,1,0.1,0.49984693877551023,0.49822073191362215,0.026566594507713034,0.5258017296339301,0.4445435057253883,4
raw_qc_pass,target_locked,csp_e2_shrink0.01_l2_0.1,csp,0.1,2,0.01,0.514795918367347,0.5159407098773989,0.04836342626102998,0.5388088605393027,0.46942129067708016,4
raw_qc_pass,target_locked,csp_e2_shrink0.01_l2_1,csp,1.0,2,0.01,0.5148469387755101,0.5158986223353115,0.04601742234333635,0.5385213534558368,0.4688752551852242,4
raw_qc_pass,target_locked,csp_e2_shrink0.01_l2_10,csp,10.0,2,0.01,0.49729591836734693,0.4989962654329545,0.029011199766600264,0.5331879354121447,0.44330556913858177,4
raw_qc_pass,target_locked,csp_e2_shrink0.1_l2_0.1,csp,0.1,2,0.1,0.5073979591836735,0.5092381865407836,0.03457095683451522,0.5447181616292255,0.45962515048218344,4
raw_qc_pass,target_locked,csp_e2_shrink0.1_l2_1,csp,1.0,2,0.1,0.5048469387755102,0.5058752134445683,0.03230760534672924,0.5448293321946868,0.4575762658284548,4
