dataset,condition,channel,window,window_start_ms,window_end_ms,n_clipped_only,n_sqi_retained,valid_erp_rms,clean_erp_rms,clean_vs_clipped_only_rmse,clean_vs_clipped_only_nrmse,clean_vs_equal_n_random_mean_rmse,clean_outside_stratified_random_pointwise_95_pct,random_band_mean_width,bootstrap_repeats,bootstrap_blocks,interpretation
VisualCogA_Task-2,right,F3,target_candidate_250_500ms,2450.0,2700.0,37,35,39.68763633227776,35.270771511031114,4.435487463054493,0.11175993011826538,6.289791032938705,0.0,17.231658935546875,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogA_Task-2,right,Fz,target_candidate_250_500ms,2450.0,2700.0,37,35,33.97761183939632,32.27943458295101,1.7402732421679952,0.05121823306457888,2.0952130770650026,0.1875,5.02471786737442,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogA_Task-2,right,F4,target_candidate_250_500ms,2450.0,2700.0,37,35,43.9585500141592,40.822090969456056,3.151101289206405,0.07168346745266677,4.342398863946219,0.46875,8.96404337286949,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogB_Task-1,left,F3,cue_onset_0_200ms,0.0,200.0,42,41,6.4710481738997325,5.407768990143352,1.1021322845648376,0.170317428482478,1.1261882718869296,0.15384615384615385,2.784447055596572,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogB_Task-1,left,Fz,cue_onset_0_200ms,0.0,200.0,42,41,4.980484540417261,1.845409787678073,3.356061376745555,0.6738423439548288,3.2886259559782243,0.6153846153846154,4.505167056734745,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogB_Task-1,left,F4,cue_onset_0_200ms,0.0,200.0,42,41,5.051869614282852,4.58684271978553,0.6127629147180125,0.12129428538408515,0.669350509041357,0.0,3.6401318231454263,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogB_Task-1,left,F3,cue_offset_200_800ms,200.0,800.0,42,41,18.782036341579254,21.884352033676414,3.9725891965839204,0.21151003673597898,4.480657773713107,0.2727272727272727,8.524404869941003,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogB_Task-1,left,Fz,cue_offset_200_800ms,200.0,800.0,42,41,6.776634429745461,11.118866385114261,9.190052892966541,1.356138211119606,8.805344998203969,0.5064935064935064,12.063436666285837,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogB_Task-1,left,F4,cue_offset_200_800ms,200.0,800.0,42,41,35.669611734254794,32.53472711848425,3.605592027709257,0.10108301863702876,3.4642056492640916,0.0,18.35655419857471,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogB_Task-1,left,F3,cue_full_0_800ms,0.0,800.0,42,41,16.56163320932294,19.115783552385004,3.479140174021434,0.21007228756056148,3.915181362180157,0.24271844660194175,7.075483479912312,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogB_Task-1,left,Fz,cue_full_0_800ms,0.0,800.0,42,41,6.371195415762196,9.658233358490854,8.122865009767846,1.2749357820154217,7.790532790220225,0.5339805825242718,10.155523949311775,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogB_Task-1,left,F4,cue_full_0_800ms,0.0,800.0,42,41,30.945032468263534,28.22451068783139,3.132642214505656,0.10123247463767947,3.0140516916491054,0.0,14.641729132932367,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogB_Task-1,left,F3,target_candidate_250_500ms,2450.0,2700.0,42,41,5.331214267983917,7.702472722166237,2.596136643574967,0.48696910554989514,3.004217850204148,0.65625,4.893880443181843,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogB_Task-1,left,Fz,target_candidate_250_500ms,2450.0,2700.0,42,41,8.226711766572361,4.591381853678845,4.051510163426603,0.492482328102113,4.017497295887457,0.59375,8.404533935245126,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogB_Task-1,left,F4,target_candidate_250_500ms,2450.0,2700.0,42,41,13.868130323465154,12.892971384898306,1.0002118309644952,0.07212304814241013,1.1789451730855505,0.0,10.696882404386997,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogB_Task-1,right,F3,cue_onset_0_200ms,0.0,200.0,43,42,1.8718564422522628,4.182442608664071,2.6577288019979965,1.4198358068528767,2.782606012834751,0.38461538461538464,4.594343330424565,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogB_Task-1,right,Fz,cue_onset_0_200ms,0.0,200.0,43,42,3.4278092301862455,1.3604875033972519,2.208997561141301,0.6444342181263332,1.6046091753584653,0.34615384615384615,2.7626059824744096,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogB_Task-1,right,F4,cue_onset_0_200ms,0.0,200.0,43,42,3.5999422543476784,6.242763974093095,2.9709784495086176,0.8252850294808323,3.227681532911212,0.38461538461538464,4.795818855251687,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogB_Task-1,right,F3,cue_offset_200_800ms,200.0,800.0,43,42,10.489227542751776,13.224961628506799,3.340906486818836,0.3185083432695152,3.5550121655340994,0.09090909090909091,11.0305944754222,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogB_Task-1,right,Fz,cue_offset_200_800ms,200.0,800.0,43,42,16.790113104740474,15.350080579518062,2.036187564732814,0.12127301061229434,1.2191677739384832,0.05194805194805195,5.376061352913256,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogB_Task-1,right,F4,cue_offset_200_800ms,200.0,800.0,43,42,12.94810392670904,15.568022211430394,4.006198229044201,0.3094042380043236,3.7758753160477614,0.06493506493506493,11.51102239033812,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogB_Task-1,right,F3,cue_full_0_800ms,0.0,800.0,43,42,9.117858227798171,11.626085274053782,3.182322388582041,0.3490208236491219,3.376747856742593,0.1650485436893204,9.405909720374254,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogB_Task-1,right,Fz,cue_full_0_800ms,0.0,800.0,43,42,14.61891477599722,13.289621859677737,2.0811638602456135,0.14236103651569773,1.3270689304114818,0.1262135922330097,4.71635417202578,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogB_Task-1,right,F4,cue_full_0_800ms,0.0,800.0,43,42,11.340391180030055,13.821065233791629,3.7717853977320686,0.33259746845188387,3.6452831325642077,0.14563106796116504,9.815922468859991,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogB_Task-1,right,F3,target_candidate_250_500ms,2450.0,2700.0,43,42,6.853264506848923,8.510223910536302,1.7207692966936958,0.2510875357246195,1.8965105253839334,0.15625,8.083890085399617,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogB_Task-1,right,Fz,target_candidate_250_500ms,2450.0,2700.0,43,42,9.862995146457754,3.8292239690918235,6.558224100982475,0.664932305410069,5.8426637682013745,0.59375,8.857100104447454,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogB_Task-1,right,F4,target_candidate_250_500ms,2450.0,2700.0,43,42,2.633400078811825,5.606150029834702,4.083522427632261,1.5506654155925759,3.8460461469809886,0.5,6.973402740666643,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogB_Task-2,left,F3,cue_onset_0_200ms,0.0,200.0,39,37,19.250990580486242,10.302554926904476,9.061483714186013,0.4707022049749056,8.1198629765685,0.4230769230769231,13.393796203228144,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogB_Task-2,left,Fz,cue_onset_0_200ms,0.0,200.0,39,37,2.4513638957351467,2.8126507431712664,4.648865537967759,1.8964404044849479,3.956526460808884,0.0,7.003077943049944,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogB_Task-2,left,F4,cue_onset_0_200ms,0.0,200.0,39,37,11.807710252828613,5.225014939684442,6.633406037149439,0.5617859767146949,5.727959624809551,0.0,11.247771466007599,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogB_Task-2,left,F3,cue_offset_200_800ms,200.0,800.0,39,37,42.971937674204774,27.29089013311778,16.516213694004456,0.3843488236258618,16.055063699637106,0.6233766233766234,30.293568676942353,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogB_Task-2,left,Fz,cue_offset_200_800ms,200.0,800.0,39,37,35.6915015965016,41.39898070612418,9.675727326645212,0.27109331055977776,8.886735589435753,0.07792207792207792,17.71145052658273,1000,5,descriptive_pointwise_interval_not_familywise_test
VisualCogB_Task-2,left,F4,cue_offset_200_800ms,200.0,800.0,39,37,30.723873674319815,30.818669503797967,13.900006754791983,0.4524171301488633,12.963411676845148,0.1038961038961039,28.504957023688725,1000,5,descriptive_pointwise_interval_not_familywise_test
