preprocessing,target_stimulus_candidate,target_onset_candidate_s,target_duration_s_assumption,match_evidence_scenario,heldout_record,cue_side,model,evaluation_window,window_start_s,window_stop_s,rmse_raw_units,nrmse_by_heldout_sd,correlation,n_train_records,n_train_record_cue_means,n_test_trials_in_cue_group,fit_parameters_train_only,response_channel_used
none,dots,2.0,0.2,-1.0,VisualCogA_Task-2,right,Q2_plus_memory,candidate_target_600ms,2.0,2.6,231.78600339651803,7.085201705834351,-0.7638165068593186,3,6,41,True,False
none,dots,2.0,0.2,-1.0,VisualCogA_Task-2,left,Q2_plus_memory_control,cue_stage,0.0,0.8,53.87331535378892,1.0730009984773723,0.31977161414757105,3,6,49,True,False
none,dots,2.0,0.2,-1.0,VisualCogA_Task-2,left,Q2_plus_memory_control,late_stage,0.8,2.8,64.56930754935813,1.842108800369149,-0.01223724218049325,3,6,49,True,False
none,dots,2.0,0.2,-1.0,VisualCogA_Task-2,left,Q2_plus_memory_control,candidate_target_600ms,2.0,2.6,69.48485120417125,3.071226698664776,-0.3069900375020644,3,6,49,True,False
none,dots,2.0,0.2,-1.0,VisualCogA_Task-2,right,Q2_plus_memory_control,cue_stage,0.0,0.8,99.62586367601439,1.4120474205354143,0.06516344993258888,3,6,41,True,False
none,dots,2.0,0.2,-1.0,VisualCogA_Task-2,right,Q2_plus_memory_control,late_stage,0.8,2.8,199.91941372846068,4.621566955686243,-0.49603535259462356,3,6,41,True,False
none,dots,2.0,0.2,-1.0,VisualCogA_Task-2,right,Q2_plus_memory_control,candidate_target_600ms,2.0,2.6,229.92766346702012,7.02839623421157,-0.7807977604165027,3,6,41,True,False
none,dots,2.0,0.2,-1.0,VisualCogB_Task-1,left,Training_mean_template,cue_stage,0.0,0.8,30.33075629867405,1.1671982803593115,0.6762753600671128,3,6,43,True,False
none,dots,2.0,0.2,-1.0,VisualCogB_Task-1,left,Training_mean_template,late_stage,0.8,2.8,47.76044260519691,1.307891646133743,0.25417606538143633,3,6,43,True,False
none,dots,2.0,0.2,-1.0,VisualCogB_Task-1,left,Training_mean_template,candidate_target_600ms,2.0,2.6,49.74881535357403,1.2446273309279592,0.8092864900009278,3,6,43,True,False
none,dots,2.0,0.2,-1.0,VisualCogB_Task-1,right,Training_mean_template,cue_stage,0.0,0.8,86.7423138020746,2.5508449339678005,0.029317347683828418,3,6,45,True,False
none,dots,2.0,0.2,-1.0,VisualCogB_Task-1,right,Training_mean_template,late_stage,0.8,2.8,111.82341068398667,1.5738089517534397,0.2328057661890107,3,6,45,True,False
none,dots,2.0,0.2,-1.0,VisualCogB_Task-1,right,Training_mean_template,candidate_target_600ms,2.0,2.6,111.0310049129903,1.3396534941125766,0.4697998752769324,3,6,45,True,False
none,dots,2.0,0.2,-1.0,VisualCogB_Task-1,left,Q2_visual_only,cue_stage,0.0,0.8,51.7941367187489,1.9931592445474766,0.6111775593865902,3,6,43,True,False
none,dots,2.0,0.2,-1.0,VisualCogB_Task-1,left,Q2_visual_only,late_stage,0.8,2.8,58.43748970624707,1.6002763047993753,0.1674576220916618,3,6,43,True,False
none,dots,2.0,0.2,-1.0,VisualCogB_Task-1,left,Q2_visual_only,candidate_target_600ms,2.0,2.6,70.17782759377319,1.755725068578651,0.5311597066172418,3,6,43,True,False
none,dots,2.0,0.2,-1.0,VisualCogB_Task-1,right,Q2_visual_only,cue_stage,0.0,0.8,72.79934210156051,2.140821761103554,0.4397430092599411,3,6,45,True,False
none,dots,2.0,0.2,-1.0,VisualCogB_Task-1,right,Q2_visual_only,late_stage,0.8,2.8,79.61683349167677,1.1205317785697573,0.5315834677676097,3,6,45,True,False
none,dots,2.0,0.2,-1.0,VisualCogB_Task-1,right,Q2_visual_only,candidate_target_600ms,2.0,2.6,86.76011186285855,1.0468110875674699,0.4948086520045762,3,6,45,True,False
none,dots,2.0,0.2,-1.0,VisualCogB_Task-1,left,Q2_plus_memory,cue_stage,0.0,0.8,47.600039109614556,1.8317605814599125,0.6444816325144168,3,6,43,True,False
none,dots,2.0,0.2,-1.0,VisualCogB_Task-1,left,Q2_plus_memory,late_stage,0.8,2.8,59.06048132884939,1.6173365641765407,0.23832964651248506,3,6,43,True,False
none,dots,2.0,0.2,-1.0,VisualCogB_Task-1,left,Q2_plus_memory,candidate_target_600ms,2.0,2.6,72.94237552980648,1.824889166143445,0.6633917013174473,3,6,43,True,False
none,dots,2.0,0.2,-1.0,VisualCogB_Task-1,right,Q2_plus_memory,cue_stage,0.0,0.8,70.45698003042477,2.0719395494034085,0.23078530409897957,3,6,45,True,False
none,dots,2.0,0.2,-1.0,VisualCogB_Task-1,right,Q2_plus_memory,late_stage,0.8,2.8,79.07554384380305,1.1129136377162059,0.5612109885266964,3,6,45,True,False
none,dots,2.0,0.2,-1.0,VisualCogB_Task-1,right,Q2_plus_memory,candidate_target_600ms,2.0,2.6,85.12898590766734,1.0271306065439756,0.6130467068879053,3,6,45,True,False
none,dots,2.0,0.2,-1.0,VisualCogB_Task-1,left,Q2_plus_memory_control,cue_stage,0.0,0.8,50.135989614846736,1.9293498746392825,0.6294011618858925,3,6,43,True,False
none,dots,2.0,0.2,-1.0,VisualCogB_Task-1,left,Q2_plus_memory_control,late_stage,0.8,2.8,58.88343691703067,1.6124883070293765,0.22004798420990643,3,6,43,True,False
